rule_id,display_name,severity,fidelity_tier,data_source,useful_30d,noise_30d,useful_pct,notes
AWS.Administrative.IAM.User.Created.Group,AWS Administrative IAM User Created,Info,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.Backdoor.Administrative.IAM.Role.Created.Group,AWS Backdoor Administrative IAM Role Created,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.CloudTrail.IAMAssumeRoleBlacklistIgnored,IAM Assume Role Blocklist Ignored,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.CloudTrail.IAMEntityCreatedWithoutCloudFormation,IAM Entity Created Without CloudFormation,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.CloudTrail.PasswordSpraying,AWS CloudTrail Password Spraying,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.Console.LoginWithoutSAML,Logins Without SAML,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.Console.Sign-In.WITHOUT.Okta,AWS Console Sign-In WITHOUT Okta Redirect,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.EC2.ManualSecurityGroupChange,AWS EC2 Manual Security Group Change,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.EC2.StopInstance.WITH.ModifyInstanceAttributes,StopInstance WITH ModifyInstanceAttributes,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.ECR.CRUD,ECR CRUD Actions,Info,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.ECR.EVENTS,AWS ECR Events,Info,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.IAM.Group.Read.Only.Events,AWS IAM Group Read Only Events,Info,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.LAMBDA.CRUD,Lambda CRUD Actions,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.Modify.Cloud.Compute.Infrastructure,AWS Modify Cloud Compute Infrastructure,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.Privilege.Escalation.Via.User.Compromise.Group,AWS Privilege Escalation Via User Compromise,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.S3.Disable.Security.Controls,AWS S3 Security Controls Disabled,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.S3.ObjectExfiltration.WITH.ObjectDeletion,AWS S3 Object Exfiltration WITH Object Deletion,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.S3.ServerAccess.IPWhitelist,AWS S3 Access IP Allowlist,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.S3.ServerAccess.Unauthenticated,AWS S3 Unauthenticated Access,Low,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.S3.ServerAccess.UnknownRequester,AWS S3 Unknown Requester,Low,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.SSO.Access.Token.Retrieved.by.Unauthenticated.IP.Group,AWS SSO Access Token Retrieved by Unauthenticated IP,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.Software.Discovery,AWS Software Discovery,Info,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.Unsuccessful.MFA.attempt,AWS Unsuccessful MFA attempt,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.UnusedRegion,Unused AWS Region,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.User.Takeover.Via.Password.Reset.Group,AWS User Takeover Via Password Reset,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.VPC.InboundPortBlacklist,VPC Flow Logs Inbound Port Blocklist,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.VPC.InboundPortWhitelist,VPC Flow Logs Inbound Port Allowlist,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.VPC.PortScanning,VPC Flow Port Scanning,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.VPC.UnapprovedOutboundDNS,VPC Flow Logs Unapproved Outbound DNS Traffic,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Auth0.AdminInvited.WITH.TenantMemberDeletion,Auth0 New Admin Invited WITH Tenant Member Account Deletion,High,Developmental,disabled,,,,Disabled (Enabled: false)
Azure.Storage.BlobUpload.WITH.CPKEncryptionError,Azure Storage Blob Upload WITH CPK Encryption Error,High,Developmental,disabled,,,,Disabled (Enabled: false)
Box.Event.Triggered.Externally,Box event triggered by unknown or external user,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
CiscoUmbrella.DNS.FuzzyMatching,Cisco Umbrella Domain Name Fuzzy Matching,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
CiscoUmbrella.DNS.Suspicious,Cisco Umbrella Suspicious Domains,Low,Developmental,disabled,,,,Disabled (Enabled: false)
